title,description,budget,technologies
Excel Revenue Frequency Distribution Expert,"I am seeking an Excel specialist to create a frequency distribution for my financial data, specifically focusing on monthly revenue data. The goal is to analyze and visualize the distribution of revenue over time to gain insights into financial performance.

Key Requirements:
- Develop a frequency distribution for monthly revenue data
- Utilize Excel to organize, calculate, and present data effectively
- Ensure accuracy and clarity in data representation
- Provide insights and observations based on the distribution analysis

Ideal Skills and Experience:
- Proficiency in Excel, including advanced functions and data analysis tools
- Experience with financial data analysis, particularly revenue data
- Strong analytical skills to interpret and present data findings
- Attention to detail and ab...",₹601 - ₹1502,
Sales Closers for AI Chatbot & E-commerce,"Sales Closer – AI Chatbots, Websites & All-in-One Business Software – $1k+ First Week Potential

Description:

We’re expanding fast and looking for 5 confident sales closers to join our team.
If you can sell, you can make $1,000+ in your first week and build a long-term income stream that keeps growing every month.


---

What You’ll Sell

AI Chatbots – customer support, booking bots, website assistants, voice calling bots, and more

Niche Websites & E-Commerce Stores – tailored for industries like fitness, real estate, beauty, trades, coaching, and more

All-in-One Business Systems – CRM, bookings, HR, marketing, finance, and more


Free setup + 30-day trial makes this an easy sell — once businesses see what we can do, they rarely wa...","₹1312 / hr
                                                                    
                                        Avg Bid",
TDL Script Configuration for Tally 6.1,"I am seeking an expert in TDL scripting to help configure my TDL script for Tally 6.1. The project involves adding and modifying specific features to enhance the functionality of my Tally system.

Key Requirements:
- Implement customized reports to meet specific business needs
- Enable data import/export functionalities for seamless data management
- Automate data entry processes to improve efficiency
- Utilize existing documentation to guide the configuration process

Ideal Skills and Experience:
- Proficiency in TDL scripting and Tally 6.1
- Experience in developing customized reports and data management solutions
- Strong understanding of automation techniques within Tally
- Ability to interpret and utilize technical documentation effectively

If you have the expertise to enhance my Tal...","₹962
                                                                    
                                        Avg Bid",
React Native App SDK Update -- 2,"I need three React Native apps updated to the latest SDKs for both iOS and Android. Your responsibilities will include building and deploying to the app stores, with final release handled by my team.

Requirements:
- Update apps to latest SDKs
- Build and deploy to app stores
- Ensure push notifications are received and link correctly (1 app only)
- Completion within 60 days

Ideal Skills:
- React Native expertise
- iOS and Android deployment experience
- Familiarity with app store guidelines
- No existing CI/CD setup needed

Please ensure timely delivery and maintain communication throughout the project.","₹1575 / hr
                                                                    
                                        Avg Bid",
English Voice Over for corporate Voice-over,"We're looking for a talented voice-over artist to narrate our company profile video, which is 17 minutes long. The final voice-over will be between 14 to 15 minutes. We need a fluent American or British English voice that sounds professional, clear, and engaging for an adult audience.

Requirements:

- High-quality English voice-over (American or British accent)
- Duration: 14–15 minutes of narration
- Tone: Clear, professional, and engaging

Audience: Adults

- Ideal Candidate:
- Proven experience with commercial or corporate voice-overs
- Ability to adapt tone and pace to suit company branding
- Strong communication and attention to detail

If you have a demo reel or relevant samples, please include them in your proposal. We look forward to hearing your voice bring our story t...","₹3499
                                                                    
                                        Avg Bid",
Refine Conference Paper's English Urgently,"I need a skilled editor to refine the English in my engineering-focused scientific research conference paper. The goal is to ensure low plagiarism, avoid AI detection, and meet a tight deadline. The paper requires comprehensive editing to enhance grammar, punctuation, clarity, readability, and technical terminology accuracy.

Key Requirements:
- Expertise in editing scientific research papers, particularly in engineering
- Ability to correct grammar and punctuation errors
- Improve overall clarity and readability of the text
- Ensure technical terminology is used accurately and appropriately
- Maintain low plagiarism levels and avoid AI detection
- Capability to work under tight deadlines

Ideal Skills and Experience:
- Strong background in engineering or related scientific fields
- Proven...","₹6911
                                                                    
                                        Avg Bid",
Bilingual Content Moderator,"I need a bilingual content moderator to review user-generated content for violations and policy breaches. The aim is to remove inappropriate or harmful content quickly and efficiently, ensuring a safe online environment.

Key Responsibilities:
- Review text and images on social media and forums
- Handle user reports
- Enforce content policies and community guidelines

Ideal Skills and Experience:
- Strong attention to detail
- Decision-making under pressure
- Experience moderating text and images
- Fluent in Arabic and English
- Familiar with content policies, community guidelines, and trust & safety practices
- Available for part-time or full-time remote work

Your role is crucial in maintaining a safe online community.","₹1400 / hr
                                                                    
                                        Avg Bid",
MTN Momo Gateway Integration for WooCommerce,"I'm looking for a skilled developer to integrate the MTN Momo payment gateway into my WooCommerce store. The primary goal is to enable automatic payment processing, ensuring a seamless transaction experience for users. The MTN Momo gateway should be presented as the primary payment option during checkout.

Key Requirements:
- Integrate MTN Momo payment gateway with WooCommerce
- Enable automatic payment processing
- Present MTN Momo as the primary payment option during checkout
- Ensure secure and reliable transaction handling

Ideal Skills and Experience:
- Experience with WooCommerce and payment gateway integrations
- Familiarity with MTN Momo API and its functionalities
- Strong understanding of e-commerce payment processing
- Ability to ensure a user-friendly and secure checkout e...","₹12947
                                                                    
                                        Avg Bid",
Part-Time Data Entry Specialist,"I need a part-time data entry specialist. You will work with digital files.

Key tasks include:
- Entering data into spreadsheets
- Updating databases
- Transcribing data from documents

Ideal skills:
- Proficiency in Excel and database management
- Fast and accurate typing
- Attention to detail

Experience in similar roles is a plus.","₹175 / hr
                                                                    
                                        Avg Bid",
Dreams Approved Logo Design,"Logo Design Brief for: Dreams Approved - No AI generated designs
Files need to be illustrator files and all fonts used must be sent through if accepted as winner. 
________________________________________

Business Name: Dreams Approved
(used in full — variations like  or initials DA may also be explored)

Business Overview:

Dreams Approved helps people unlock lifestyle goals through finance, without the usual bank stress. Customers can finance things like:
•	 Vehicles (cars, 4WDs)
•	Marine (boats, jet skis)
•	 Caravans
•	Homes, renovations
•	 Equipment (business gear, yellow goods)
•	 Personal loans, weddings, holidays, debt consolidation

This is a freedom-driven, lifestyle-focused brand with an emotional edge:

“That dream you have… it&r...","₹962 / hr
                                                                    
                                        Avg Bid",
Captivating Video Loop for LED Screens,"I am seeking a talented video designer to create a dynamic and captivating video loop for display on three large LED screens. This video will showcase the branding and exciting light effects for Osun Mega Draw, a premier lottery product under 2AG Ltd.

Key Requirements:
- The video should prominently feature our lottery offerings, with a special emphasis on Imole Millionaires, which offers a chance to become an instant millionaire.
- Other offerings to include are Cash Out, Emilokan, and Osun Mega Luck, each promising exciting rewards and big wins.
- Incorporate bold, solid light animations and vibrant transitions, with a dominant gold color scheme, to evoke a sense of anticipation among viewers.
- The video must run on a continuous loop, ensuring a seamless and professionally polished pre...","₹14522
                                                                    
                                        Avg Bid",
